         2609379 function calls (2609282 primitive calls) in 9.795 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.069    0.069    9.795    9.795 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\color.py:199(main)
        1    2.503    2.503    9.676    9.676 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\color.py:96(search_color_voting)
   236587    1.036    0.000    6.075    0.000 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\color.py:57(parse_hist_text)
   236587    4.371    0.000    4.371    0.000 {built-in method numpy.fromstring}
   236593    0.131    0.000    0.714    0.000 {method 'sum' of 'numpy.ndarray' objects}
   236593    0.051    0.000    0.584    0.000 C:\Anaconda3\Lib\site-packages\numpy\core\_methods.py:47(_sum)
   236668    0.546    0.000    0.546    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.137    0.137    0.337    0.337 C:\Anaconda3\Lib\site-packages\numpy\core\shape_base.py:219(vstack)
  1183386    0.210    0.000    0.210    0.000 {method 'append' of 'list' objects}
        1    0.197    0.197    0.207    0.207 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\color.py:67(chi2_distance)
        1    0.144    0.144    0.200    0.200 C:\Anaconda3\Lib\site-packages\numpy\core\shape_base.py:81(atleast_2d)
        1    0.073    0.073    0.147    0.147 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\color.py:78(emd1d_per_channel_distance)
        1    0.084    0.084    0.120    0.120 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\color.py:74(hellinger_distance)
       10    0.000    0.000    0.059    0.006 C:\Anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:53(_wrapfunc)
        2    0.000    0.000    0.055    0.028 C:\Anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:2512(cumsum)
        2    0.055    0.028    0.055    0.028 {method 'cumsum' of 'numpy.ndarray' objects}
        1    0.037    0.037    0.047    0.047 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\color.py:70(hist_intersection_distance)
        1    0.025    0.025    0.036    0.036 C:\Anaconda3\Lib\site-packages\numpy\linalg\linalg.py:2383(norm)
        1    0.032    0.032    0.032    0.032 {imread}
       30    0.026    0.001    0.026    0.001 {method 'astype' of 'numpy.ndarray' objects}
   236732    0.020    0.000    0.020    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.013    0.013 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\color.py:176(build_argparser)
