         2608862 function calls (2608772 primitive calls) in 7.468 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.068    0.068    7.468    7.468 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\hash.py:183(main)
        1    1.125    1.125    7.375    7.375 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\hash.py:87(search_color_voting)
   236587    0.945    0.000    5.347    0.000 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\hash.py:51(parse_hist_text)
   236587    3.800    0.000    3.800    0.000 {built-in method numpy.fromstring}
   236593    0.114    0.000    0.648    0.000 {method 'sum' of 'numpy.ndarray' objects}
   236593    0.058    0.000    0.534    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\core\_methods.py:47(_sum)
   236668    0.493    0.000    0.493    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.103    0.103    0.275    0.275 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\core\shape_base.py:219(vstack)
        1    0.122    0.122    0.172    0.172 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\core\shape_base.py:81(atleast_2d)
  1183352    0.168    0.000    0.168    0.000 {method 'append' of 'list' objects}
        1    0.152    0.152    0.164    0.164 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\hash.py:59(chi2_distance)
        1    0.065    0.065    0.131    0.131 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\hash.py:70(emd1d_per_channel_distance)
        1    0.068    0.068    0.109    0.109 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\hash.py:66(hellinger_distance)
       10    0.000    0.000    0.052    0.005 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\core\fromnumeric.py:53(_wrapfunc)
        2    0.000    0.000    0.049    0.025 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\core\fromnumeric.py:2512(cumsum)
        2    0.049    0.025    0.049    0.025 {method 'cumsum' of 'numpy.ndarray' objects}
        1    0.032    0.032    0.043    0.043 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\hash.py:62(hist_intersection_distance)
        1    0.030    0.030    0.042    0.042 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\linalg\linalg.py:2383(norm)
   236732    0.020    0.000    0.020    0.000 {built-in method numpy.asanyarray}
       30    0.015    0.001    0.015    0.001 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.011    0.011 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\hash.py:162(build_argparser)
        1    0.011    0.011    0.011    0.011 {imread}
        1    0.000    0.000    0.011    0.011 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\argparse.py:1759(__init__)
      9/2    0.000    0.000    0.009    0.005 <frozen importlib._bootstrap>:1349(_find_and_load)
      9/2    0.000    0.000    0.009    0.004 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      9/2    0.000    0.000    0.008    0.004 <frozen importlib._bootstrap>:911(_load_unlocked)
        7    0.000    0.000    0.008    0.001 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\argparse.py:1434(add_argument)
      5/2    0.000    0.000    0.008    0.004 <frozen importlib._bootstrap_external>:1020(exec_module)
        7    0.000    0.000    0.008    0.001 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\argparse.py:2602(_get_formatter)
        7    0.000    0.000    0.008    0.001 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\argparse.py:162(__init__)
       24    0.001    0.000    0.007    0.000 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\hash.py:76(to_similarity)
     20/4    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      5/2    0.000    0.000    0.006    0.003 {built-in method builtins.exec}
       12    0.000    0.000    0.006    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\function_base.py:3992(percentile)
        1    0.000    0.000    0.006    0.006 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\shutil.py:1(<module>)
       12    0.000    0.000    0.005    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\function_base.py:4547(_quantile_unchecked)
       12    0.000    0.000    0.005    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\function_base.py:3763(_ureduce)
       12    0.000    0.000    0.005    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\function_base.py:4697(_quantile_ureduce_func)
       12    0.000    0.000    0.005    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\function_base.py:4765(_quantile)
