         410855 function calls (410654 primitive calls) in 15.591 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005   15.591   15.591 C:\Users\moham\AppData\Local\Temp\ipykernel_18824\1608379810.py:43(main)
      760    0.004    0.000   10.233    0.013 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\std.py:1160(__iter__)
      295    0.007    0.000    9.723    0.033 Z:\Python311\Lib\threading.py:611(wait)
      530    0.007    0.000    9.715    0.018 Z:\Python311\Lib\threading.py:295(wait)
     2386    9.703    0.004    9.703    0.004 {method 'acquire' of '_thread.lock' objects}
      259    0.010    0.000    9.570    0.037 Z:\Python311\Lib\concurrent\futures\_base.py:199(as_completed)
        1    0.007    0.007    5.297    5.297 C:\Users\moham\AppData\Local\Temp\ipykernel_18824\1608379810.py:80(process_batch)
        1    0.017    0.017    4.460    4.460 z:\CODING\UNI\BIG_DATA\src\features\embedding_vec.py:34(extract_embeddings)
     75/1    0.001    0.000    4.098    4.098 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\torch\nn\modules\module.py:1747(_wrapped_call_impl)
     75/1    0.001    0.000    4.098    4.098 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\torch\nn\modules\module.py:1755(_call_impl)
      8/1    0.000    0.000    4.098    4.098 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\torch\nn\modules\container.py:238(forward)
        8    0.088    0.011    3.142    0.393 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\torchvision\models\resnet.py:89(forward)
       20    0.000    0.000    3.123    0.156 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\torch\nn\modules\conv.py:553(forward)
       20    0.000    0.000    3.123    0.156 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\torch\nn\modules\conv.py:536(_conv_forward)
       20    3.123    0.156    3.123    0.156 {built-in method torch.conv2d}
       60    0.001    0.000    0.665    0.011 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\std.py:1325(refresh)
       61    0.002    0.000    0.661    0.011 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\std.py:1464(display)
       59    0.003    0.000    0.656    0.011 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\std.py:1198(update)
       61    0.001    0.000    0.639    0.010 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\std.py:457(print_status)
